Gender,Age,Height,Weight,Heart_Rate,Body_Temp,Calories,Duration
male,68,190,94,105,40.8,231,29
female,20,166,60,94,40.3,66,14
male,69,179,79,88,38.7,26,5
female,34,179,71,100,40.5,71,13
female,27,154,58,81,39.8,35,10
female,36,151,50,96,40.7,123,23
female,33,158,56,95,40.5,112,22
male,41,175,85,100,40.7,143,25
male,60,186,94,97,40.4,134,21
female,26,146,51,90,40.2,72,16
female,36,177,76,74,37.8,3,1
female,21,157,56,100,40,92,17
male,66,171,79,90,40,58,11
female,32,157,54,93,40.4,88,18
male,53,182,85,82,38.1,7,2
female,39,156,62,104,40.8,170,28
male,39,182,82,82,38.6,11,4
male,46,169,67,89,40.2,43,11
female,27,171,65,85,38.6,15,4
male,50,188,86,94,40.2,74,14
male,67,189,93,77,39.2,29,8
female,31,148,50,84,39.5,32,8
female,33,157,60,80,38.7,10,3
female,20,165,59,100,41,155,29
male,48,182,85,80,37.7,3,1
male,29,176,75,83,39.7,24,10
male,33,173,73,78,39.3,12,7
male,42,190,88,83,38.9,10,3
female,62,159,59,106,41.2,195,29
male,38,171,75,81,38.2,5,2
male,20,183,88,97,40.5,69,16
female,25,160,59,102,40.3,136,24
female,24,165,59,91,40.2,80,18
female,42,165,68,93,40.8,107,22
male,22,182,84,114,41,200,29
female,74,158,59,93,39.6,56,10
female,70,154,59,88,40,50,10
female,26,182,80,96,40.5,100,21
male,44,184,86,114,40.8,200,25
male,61,183,86,81,38.3,4,1
female,68,157,57,92,40.1,70,13
female,61,176,70,104,40.5,127,20
male,63,179,80,108,40.8,197,25
female,54,171,66,98,40.1,113,20
female,54,169,66,80,38.9,11,3
female,47,155,55,93,40.5,82,16
male,33,184,86,86,39.9,26,8
female,24,171,66,105,40.6,141,24
male,24,195,98,96,40.6,92,20
male,48,152,59,79,38,5,2
male,35,193,93,83,39.7,30,10
male,21,168,71,78,38.5,3,3
female,21,179,73,90,39.6,37,9
female,22,158,62,105,40.6,147,25
female,69,174,69,80,38.1,8,2
male,53,191,101,106,40.7,159,21
female,68,155,58,100,40.3,93,15
female,69,164,65,113,40.4,173,23
male,28,198,101,95,40.6,89,19
male,70,188,89,82,39.3,31,7
female,36,170,64,84,39.6,35,9
female,77,177,80,98,40.6,94,16
female,32,167,63,99,39.7,49,9
female,62,185,77,84,40.4,54,13
female,64,151,56,97,40.4,117,20
male,45,175,79,104,40.6,173,27
male,45,158,61,97,40.7,99,20
female,22,177,71,93,39.8,45,10
male,45,169,69,113,40.6,166,22
female,66,174,69,111,40.9,202,28
male,31,182,83,101,40.9,107,20
female,57,163,68,109,40.7,199,29
male,53,192,93,90,39.1,25,5
female,22,179,67,77,39.5,23,8
male,67,192,92,108,40.7,200,24
female,27,168,64,76,38.2,6,2
male,57,178,83,79,38.1,7,2
female,49,168,68,99,40.6,113,20
female,39,168,63,108,40.7,188,29
male,47,165,72,96,40.3,103,20
male,62,197,101,103,40.3,128,17
male,41,187,89,99,40.7,130,23
female,34,144,50,83,39.3,27,7
female,40,163,62,111,41.2,185,27
female,55,155,57,92,39.8,57,11
male,44,189,88,94,40,65,13
female,45,160,60,99,40.4,91,16
female,49,164,64,105,40.4,120,19
female,46,166,68,101,40.1,70,12
male,25,202,100,94,39.8,39,9
male,68,171,80,95,40.5,136,22
female,25,169,64,101,40.2,77,14
female,31,174,67,93,39.5,42,9
male,57,184,91,95,39.2,41,7
female,27,159,59,88,39.9,59,14
male,40,201,98,110,40.7,179,24
female,57,171,74,73,38.6,6,2
female,23,155,62,74,39.2,13,5
male,23,189,87,110,40,147,23
male,43,183,88,107,40.7,180,26
male,74,201,107,96,40.1,101,14
female,45,158,53,106,40.7,150,23
female,31,165,60,115,40.8,179,25
male,21,195,93,93,39.2,23,6
male,50,190,96,80,38.3,10,3
male,39,175,74,93,39.5,39,9
male,57,169,81,112,40.9,247,30
female,26,159,53,92,40.5,89,19
male,34,181,83,102,40.9,141,25
female,55,160,62,87,39.1,18,4
female,52,171,67,89,40.6,70,15
male,21,188,90,110,40.8,185,29
female,20,136,45,94,40.1,54,11
female,79,152,60,107,40.8,207,29
male,21,189,91,114,41,189,27
male,50,171,74,82,38.1,6,2
